Zone,Transport,Station,Passenger,"Date, Time"
18,Metro,Jernbanetorget,4906,2025-01-08 10:21 PM
9,Metro,Jernbanetorget,11839,2025-01-13 11:05 AM
16,Metro,Nationaltheatret,7192,2025-01-15 01:49 PM
11,Metro,Jernbanetorget,14323,2025-01-14 04:40 PM
19,Tram,Ullevål Stadion,12088,2025-01-22 10:15 PM
17,Bus,Sinsen,12032,2025-01-12 10:14 PM
8,Train,Skøyen,14515,2025-01-06 07:18 AM
6,Train,Lillestrøm,8105,2025-01-08 10:40 AM
15,Tram,Røa,6246,2025-01-09 08:42 AM
8,Tram,Røa,6095,2025-01-29 10:48 PM
15,Metro,Jernbanetorget,3280,2025-01-04 03:05 PM
2,Train,Lillestrøm,3703,2025-01-04 09:04 AM
10,Bus,Lambertseter,4043,2025-01-12 04:35 PM
9,Tram,Stortinget,5083,2025-01-22 03:54 PM
15,Tram,Røa,3180,2025-01-08 10:42 AM
1,Bus,Grorud,13130,2025-01-08 05:49 PM
20,Bus,Grorud,7916,2025-01-29 12:09 PM
9,Metro,Nationaltheatret,14298,2025-01-15 05:31 PM
19,Tram,Ullevål Stadion,7530,2025-01-13 10:29 AM
20,Metro,Storo,9540,2025-01-12 03:36 PM
1,Tram,Majorstuen,7304,2025-01-05 07:31 PM
6,Bus,Sinsen,9885,2025-01-13 06:04 PM
3,Bus,Grünerløkka,5306,2025-01-29 08:05 AM
5,Bus,Grorud,10205,2025-01-11 02:33 PM
9,Bus,Grorud,14896,2025-01-20 04:34 PM
2,Metro,Jernbanetorget,10197,2025-01-02 02:18 PM
13,Train,Oslo S,9322,2025-01-19 10:07 AM
20,Train,Sandvika,7154,2025-01-12 10:59 AM
11,Tram,Tøyen,4294,2025-01-09 07:44 AM
14,Train,Oslo S,12068,2025-01-15 05:39 PM
20,Tram,Tøyen,9535,2025-01-17 02:39 PM
17,Bus,Lambertseter,6585,2025-01-27 05:17 PM
1,Train,Skøyen,4654,2025-01-07 05:30 PM
17,Bus,Grorud,13465,2025-01-07 06:51 AM
2,Metro,Furuset,4331,2025-01-12 10:25 PM
17,Tram,Majorstuen,8258,2025-01-07 04:50 PM
11,Bus,Lambertseter,1924,2025-01-26 07:14 PM
3,Train,Skøyen,8065,2025-01-05 07:05 AM
5,Tram,Tøyen,10411,2025-01-09 08:29 AM
10,Tram,Ullevål Stadion,9979,2025-01-21 08:20 AM
8,Tram,Majorstuen,10984,2025-01-19 06:26 AM
1,Tram,Stortinget,7775,2025-01-08 01:00 PM
20,Train,Skøyen,14481,2025-01-14 07:39 PM
5,Tram,Tøyen,8615,2025-01-30 10:30 AM
6,Train,Lillestrøm,12132,2025-01-15 05:00 PM
5,Bus,Helsfyr,13194,2025-01-30 02:42 PM
20,Tram,Tøyen,13378,2025-01-27 04:49 PM
6,Tram,Røa,11860,2025-01-04 02:04 PM
13,Tram,Røa,8803,2025-01-20 01:14 PM
18,Tram,Tøyen,2118,2025-01-04 06:21 AM
12,Tram,Ullevål Stadion,6338,2025-01-19 11:13 AM
17,Train,Lillestrøm,9025,2025-01-28 11:27 AM
4,Bus,Lambertseter,3910,2025-01-24 01:56 PM
14,Metro,Nationaltheatret,982,2025-01-20 08:07 AM
20,Train,Sandvika,9998,2025-01-18 06:48 AM
20,Metro,Furuset,14601,2025-01-18 05:46 PM
4,Metro,Nationaltheatret,12644,2025-01-15 04:10 PM
16,Tram,Ullevål Stadion,14318,2025-01-16 06:57 AM
15,Tram,Røa,7933,2025-01-26 08:07 AM
3,Bus,Helsfyr,1725,2025-01-21 10:20 PM
5,Bus,Helsfyr,9730,2025-01-20 11:09 AM
6,Bus,Sinsen,10351,2025-01-24 10:10 AM
19,Train,Lillestrøm,4917,2025-01-09 10:22 AM
2,Metro,Nationaltheatret,5050,2025-01-26 05:47 PM
19,Bus,Lambertseter,11742,2025-01-24 08:13 AM
4,Metro,Nationaltheatret,563,2025-01-09 03:47 PM
10,Tram,Stortinget,2305,2025-01-15 07:27 PM
8,Train,Sandvika,2698,2025-01-17 11:09 AM
7,Train,Sandvika,13362,2025-01-13 03:52 PM
15,Tram,Tøyen,11196,2025-01-05 06:26 AM
19,Train,Oslo S,2383,2025-01-19 10:51 AM
10,Bus,Bislett,5346,2025-01-05 03:59 PM
20,Metro,Jernbanetorget,1194,2025-01-24 09:10 PM
3,Bus,Grünerløkka,1534,2025-01-05 07:56 PM
1,Tram,Ullevål Stadion,3927,2025-01-25 09:44 PM
5,Train,Sandvika,1758,2025-01-13 10:55 PM
5,Train,Lillestrøm,5290,2025-01-26 06:02 PM
17,Bus,Sinsen,3130,2025-01-01 05:54 PM
16,Bus,Lambertseter,7513,2025-01-18 06:27 PM
5,Metro,Storo,13701,2025-01-19 08:17 PM
16,Train,Skøyen,10624,2025-01-17 09:19 AM
5,Tram,Tøyen,13468,2025-01-10 08:40 AM
20,Tram,Stortinget,12903,2025-01-07 12:05 PM
7,Bus,Helsfyr,8424,2025-01-14 03:24 PM
2,Tram,Tøyen,9434,2025-01-13 10:43 AM
13,Tram,Tøyen,7803,2025-01-14 02:52 PM
6,Metro,Storo,8900,2025-01-27 06:34 PM
18,Bus,Grorud,13743,2025-01-02 07:29 PM
5,Train,Oslo S,4600,2025-01-23 12:42 PM
10,Train,Lillestrøm,2459,2025-01-12 08:53 PM
16,Tram,Majorstuen,9466,2025-01-28 04:55 PM
3,Train,Sandvika,13422,2025-01-02 06:33 AM
4,Tram,Røa,8706,2025-01-05 08:25 AM
5,Metro,Furuset,11659,2025-01-13 01:14 PM
11,Metro,Storo,2990,2025-01-02 05:53 PM
8,Train,Skøyen,5457,2025-01-10 02:38 PM
16,Tram,Røa,2504,2025-01-10 01:20 PM
17,Bus,Grorud,11345,2025-01-26 01:26 PM
8,Train,Sandvika,7050,2025-01-18 07:30 PM
7,Bus,Helsfyr,14236,2025-01-30 08:45 AM
20,Tram,Ullevål Stadion,9428,2025-01-23 02:57 PM
7,Train,Sandvika,9115,2025-01-10 07:22 AM
6,Train,Skøyen,13316,2025-01-20 07:54 AM
4,Metro,Furuset,7947,2025-01-16 12:35 PM
2,Metro,Storo,13135,2025-01-14 09:36 PM
1,Metro,Jernbanetorget,8730,2025-01-08 05:55 PM
15,Bus,Grorud,6676,2025-01-28 01:22 PM
4,Bus,Grünerløkka,13754,2025-01-19 06:18 PM
9,Metro,Jernbanetorget,8513,2025-01-31 06:13 PM
16,Tram,Majorstuen,3905,2025-01-04 06:37 AM
9,Bus,Helsfyr,14374,2025-01-04 09:34 AM
15,Train,Lillestrøm,5231,2025-01-05 05:47 PM
9,Train,Skøyen,8046,2025-01-10 09:28 PM
13,Metro,Storo,10520,2025-01-05 01:29 PM
5,Bus,Lambertseter,2561,2025-01-17 10:24 AM
10,Bus,Helsfyr,7891,2025-01-30 10:35 AM
5,Train,Lillestrøm,7680,2025-01-22 03:16 PM
20,Metro,Storo,955,2025-01-23 04:54 PM
14,Train,Oslo S,13378,2025-01-06 10:54 PM
10,Metro,Furuset,5376,2025-01-16 10:07 PM
2,Metro,Nationaltheatret,1044,2025-01-28 09:16 AM
11,Tram,Ullevål Stadion,12850,2025-01-25 08:50 AM
2,Tram,Tøyen,5442,2025-01-10 10:41 AM
1,Bus,Helsfyr,1773,2025-01-16 09:59 AM
1,Metro,Storo,11662,2025-01-03 07:55 PM
20,Bus,Grorud,5427,2025-01-14 11:03 AM
11,Train,Lillestrøm,7476,2025-01-17 08:04 PM
13,Train,Sandvika,2683,2025-01-14 08:04 AM
4,Tram,Stortinget,2716,2025-01-03 08:18 PM
4,Metro,Jernbanetorget,11410,2025-01-26 08:44 AM
3,Tram,Majorstuen,5674,2025-01-17 01:10 PM
18,Metro,Jernbanetorget,2778,2025-01-03 07:19 PM
3,Train,Skøyen,11019,2025-01-24 10:53 AM
1,Metro,Storo,11769,2025-01-14 11:49 AM
17,Metro,Furuset,6065,2025-01-19 10:50 AM
13,Tram,Majorstuen,4440,2025-01-12 05:49 PM
16,Bus,Grünerløkka,7187,2025-01-12 10:41 AM
15,Metro,Furuset,873,2025-01-09 01:05 PM
6,Metro,Jernbanetorget,9846,2025-01-21 04:55 PM
7,Bus,Bislett,9405,2025-01-22 06:38 PM
4,Train,Sandvika,10719,2025-01-20 06:08 AM
19,Metro,Storo,6671,2025-01-27 01:35 PM
19,Metro,Storo,11472,2025-01-03 02:56 PM
3,Bus,Grünerløkka,9620,2025-01-03 09:18 AM
15,Bus,Grorud,14183,2025-01-22 02:18 PM
20,Train,Skøyen,13019,2025-01-01 02:11 PM
3,Tram,Røa,10000,2025-01-18 06:49 PM
4,Tram,Stortinget,13770,2025-01-09 03:56 PM
9,Metro,Nationaltheatret,9490,2025-01-08 09:25 AM
5,Metro,Furuset,8090,2025-01-11 05:26 PM
1,Metro,Furuset,8746,2025-01-15 10:10 PM
2,Train,Skøyen,5488,2025-01-13 10:24 AM
6,Bus,Bislett,13083,2025-01-22 03:13 PM
10,Bus,Bislett,10718,2025-01-27 11:56 AM
1,Train,Skøyen,2133,2025-01-05 08:41 PM
5,Metro,Nationaltheatret,7116,2025-01-30 11:55 AM
7,Metro,Furuset,2272,2025-01-06 02:58 PM
20,Train,Sandvika,4954,2025-01-24 12:04 PM
7,Tram,Stortinget,14153,2025-01-25 09:35 PM
19,Metro,Nationaltheatret,1251,2025-01-27 09:25 PM
12,Tram,Stortinget,14059,2025-01-10 10:54 PM
16,Metro,Nationaltheatret,8179,2025-01-03 10:20 PM
4,Bus,Grünerløkka,867,2025-01-16 07:16 PM
1,Tram,Tøyen,5700,2025-01-30 03:44 PM
20,Bus,Grorud,7147,2025-01-30 08:43 AM
2,Bus,Grorud,13927,2025-01-07 03:48 PM
12,Train,Sandvika,10873,2025-01-02 08:17 PM
18,Tram,Majorstuen,2640,2025-01-15 07:31 AM
5,Train,Sandvika,12611,2025-01-11 06:29 PM
8,Metro,Nationaltheatret,2375,2025-01-15 11:31 AM
3,Train,Sandvika,3612,2025-01-19 06:07 AM
4,Tram,Stortinget,3324,2025-01-13 08:47 PM
13,Metro,Storo,12500,2025-01-28 12:59 PM
14,Bus,Sinsen,12152,2025-01-13 09:25 PM
20,Train,Oslo S,7229,2025-01-12 08:12 PM
5,Tram,Tøyen,14330,2025-01-16 10:25 AM
2,Tram,Ullevål Stadion,14315,2025-01-06 02:55 PM
14,Tram,Stortinget,4896,2025-01-05 09:19 AM
20,Metro,Storo,9306,2025-01-30 10:04 PM
19,Tram,Stortinget,9750,2025-01-19 01:30 PM
19,Train,Skøyen,7207,2025-01-31 07:46 PM
1,Bus,Grünerløkka,9222,2025-01-25 05:53 PM
6,Metro,Jernbanetorget,1602,2025-01-25 06:55 PM
3,Bus,Grünerløkka,3023,2025-01-31 05:01 PM
11,Bus,Helsfyr,14306,2025-01-05 07:03 PM
10,Metro,Jernbanetorget,8351,2025-01-05 12:13 PM
13,Bus,Lambertseter,1890,2025-01-10 09:23 PM
9,Metro,Furuset,982,2025-01-19 08:34 AM
18,Tram,Majorstuen,10343,2025-01-16 09:26 AM
14,Metro,Nationaltheatret,8261,2025-01-04 04:05 PM
13,Metro,Storo,14725,2025-01-14 10:15 PM
16,Bus,Bislett,5169,2025-01-24 01:49 PM
6,Train,Sandvika,3093,2025-01-17 03:23 PM
4,Train,Skøyen,715,2025-01-30 09:46 AM
20,Metro,Nationaltheatret,4713,2025-01-22 11:33 AM
4,Metro,Jernbanetorget,4070,2025-01-07 08:46 AM
1,Bus,Sinsen,1683,2025-01-30 04:14 PM
5,Metro,Storo,7026,2025-01-28 10:46 PM
13,Bus,Helsfyr,4367,2025-01-14 03:33 PM
6,Train,Sandvika,10242,2025-01-22 09:34 PM
11,Tram,Ullevål Stadion,14990,2025-01-11 10:28 AM
4,Train,Lillestrøm,12509,2025-01-14 06:21 PM
19,Tram,Tøyen,9764,2025-01-28 11:25 AM
12,Tram,Røa,6836,2025-01-19 03:51 PM
8,Tram,Røa,13656,2025-01-01 02:32 PM
16,Tram,Røa,5848,2025-01-21 12:05 PM
15,Bus,Grorud,9746,2025-01-06 06:40 PM
12,Tram,Stortinget,3403,2025-01-15 02:01 PM
17,Metro,Nationaltheatret,614,2025-01-28 10:49 PM
18,Tram,Røa,12333,2025-01-19 06:35 PM
12,Train,Skøyen,10158,2025-01-09 12:09 PM
3,Train,Skøyen,8947,2025-01-21 08:38 PM
4,Tram,Røa,1104,2025-01-05 09:06 PM
3,Tram,Tøyen,7081,2025-01-25 11:09 AM
5,Train,Oslo S,7906,2025-01-21 03:10 PM
2,Bus,Helsfyr,14222,2025-01-11 08:26 PM
18,Tram,Majorstuen,4328,2025-01-01 08:12 AM
2,Metro,Storo,13924,2025-01-18 06:16 PM
4,Bus,Grünerløkka,14440,2025-01-04 07:17 PM
13,Metro,Furuset,7929,2025-01-08 03:44 PM
16,Metro,Jernbanetorget,13924,2025-01-15 07:24 PM
1,Metro,Nationaltheatret,12662,2025-01-05 05:00 PM
12,Metro,Jernbanetorget,6388,2025-01-16 09:54 AM
1,Tram,Majorstuen,12852,2025-01-25 09:23 AM
20,Train,Skøyen,1762,2025-01-25 09:31 AM
19,Tram,Røa,6493,2025-01-28 10:21 AM
19,Metro,Furuset,13720,2025-01-18 11:05 AM
17,Tram,Stortinget,3192,2025-01-29 11:00 AM
15,Bus,Sinsen,1278,2025-01-19 01:03 PM
11,Metro,Jernbanetorget,14571,2025-01-08 07:36 AM
14,Bus,Lambertseter,13695,2025-01-31 09:59 AM
4,Tram,Røa,12348,2025-01-18 10:25 PM
17,Bus,Helsfyr,4723,2025-01-10 05:15 PM
8,Train,Oslo S,12208,2025-01-09 02:54 PM
16,Train,Sandvika,9503,2025-01-26 06:40 PM
4,Metro,Storo,10561,2025-01-07 09:30 PM
2,Train,Oslo S,10931,2025-01-13 07:21 PM
10,Train,Skøyen,3373,2025-01-10 06:24 AM
9,Train,Lillestrøm,10221,2025-01-12 05:09 PM
17,Train,Skøyen,12089,2025-01-30 02:51 PM
13,Train,Sandvika,909,2025-01-15 05:29 PM
20,Train,Skøyen,2017,2025-01-22 09:22 AM
8,Bus,Lambertseter,10911,2025-01-28 03:24 PM
15,Train,Oslo S,11474,2025-01-25 12:58 PM
10,Metro,Furuset,6941,2025-01-17 10:35 AM
12,Metro,Jernbanetorget,14294,2025-01-06 07:43 AM
20,Tram,Tøyen,4461,2025-01-05 03:27 PM
8,Train,Oslo S,975,2025-01-11 12:22 PM
17,Tram,Majorstuen,13425,2025-01-22 07:11 PM
9,Metro,Nationaltheatret,8003,2025-01-13 10:38 AM
2,Metro,Furuset,836,2025-01-10 02:19 PM
11,Metro,Storo,6250,2025-01-24 04:20 PM
10,Train,Lillestrøm,3315,2025-01-23 04:45 PM
6,Bus,Grorud,4302,2025-01-18 10:27 PM
10,Metro,Jernbanetorget,6717,2025-01-23 06:23 AM
7,Train,Sandvika,7681,2025-01-06 12:56 PM
16,Tram,Tøyen,6115,2025-01-09 10:41 AM
12,Train,Lillestrøm,12610,2025-01-07 08:33 PM
7,Train,Skøyen,14928,2025-01-30 07:37 PM
12,Metro,Storo,10385,2025-01-14 12:43 PM
16,Metro,Storo,6009,2025-01-30 04:59 PM
2,Bus,Helsfyr,5876,2025-01-16 09:28 PM
12,Bus,Lambertseter,5546,2025-01-15 02:10 PM
16,Train,Skøyen,2779,2025-01-17 11:54 AM
11,Train,Lillestrøm,10904,2025-01-20 06:41 PM
7,Metro,Storo,8166,2025-01-07 07:04 AM
7,Tram,Majorstuen,3995,2025-01-17 08:51 PM
12,Tram,Ullevål Stadion,11056,2025-01-16 04:55 PM
10,Tram,Røa,3569,2025-01-26 10:20 AM
12,Bus,Sinsen,12296,2025-01-06 06:00 PM
16,Bus,Helsfyr,4439,2025-01-19 06:40 PM
13,Metro,Furuset,13049,2025-01-22 05:12 PM
1,Tram,Tøyen,4614,2025-01-20 04:18 PM
3,Train,Oslo S,953,2025-01-16 09:10 AM
7,Tram,Røa,1530,2025-01-31 06:43 PM
19,Train,Lillestrøm,13005,2025-01-30 06:36 PM
14,Tram,Ullevål Stadion,14449,2025-01-03 07:59 PM
13,Tram,Tøyen,6715,2025-01-02 07:34 AM
15,Tram,Majorstuen,3013,2025-01-21 07:56 AM
9,Metro,Storo,13710,2025-01-27 01:48 PM
20,Bus,Helsfyr,6647,2025-01-15 11:40 AM
10,Bus,Lambertseter,2962,2025-01-30 10:12 PM
6,Train,Lillestrøm,6438,2025-01-16 01:46 PM
17,Train,Skøyen,5559,2025-01-03 02:27 PM
6,Tram,Majorstuen,2746,2025-01-25 05:38 PM
20,Tram,Tøyen,5302,2025-01-14 10:44 PM
12,Bus,Bislett,12313,2025-01-05 11:39 AM
15,Train,Sandvika,2269,2025-01-18 07:09 AM
14,Train,Oslo S,14157,2025-01-17 11:23 AM
1,Tram,Majorstuen,898,2025-01-16 01:26 PM
20,Bus,Sinsen,9718,2025-01-24 04:51 PM
17,Bus,Sinsen,4411,2025-01-03 12:57 PM
19,Bus,Grünerløkka,9873,2025-01-27 08:41 PM
20,Train,Oslo S,9703,2025-01-02 03:55 PM
17,Metro,Jernbanetorget,800,2025-01-13 10:37 PM
4,Train,Lillestrøm,7740,2025-01-19 10:46 AM
9,Metro,Storo,12107,2025-01-17 10:43 AM
6,Tram,Røa,540,2025-01-29 05:22 PM
12,Train,Sandvika,10703,2025-01-23 06:47 AM
10,Tram,Majorstuen,11564,2025-01-23 01:24 PM
10,Metro,Jernbanetorget,6848,2025-01-13 03:44 PM
6,Train,Skøyen,9802,2025-01-20 03:20 PM
19,Train,Skøyen,4272,2025-01-24 07:47 PM
10,Metro,Jernbanetorget,4166,2025-01-16 07:20 PM
5,Tram,Majorstuen,2869,2025-01-06 10:10 PM
20,Metro,Furuset,13276,2025-01-25 07:46 AM
3,Train,Sandvika,4057,2025-01-28 04:15 PM
12,Bus,Bislett,3235,2025-01-21 10:08 PM
6,Tram,Røa,761,2025-01-23 02:01 PM
10,Train,Skøyen,710,2025-01-27 07:20 AM
20,Tram,Tøyen,13953,2025-01-22 07:43 PM
17,Train,Oslo S,1194,2025-01-07 11:59 AM
2,Metro,Furuset,13006,2025-01-05 08:41 PM
7,Train,Sandvika,5841,2025-01-28 08:44 AM
17,Bus,Sinsen,12659,2025-01-11 09:36 PM
12,Metro,Nationaltheatret,3923,2025-01-26 08:20 PM
10,Metro,Nationaltheatret,9902,2025-01-22 05:14 PM
2,Bus,Sinsen,1787,2025-01-14 01:58 PM
9,Bus,Grünerløkka,8057,2025-01-30 10:41 PM
13,Tram,Majorstuen,7941,2025-01-18 08:33 PM
15,Tram,Majorstuen,655,2025-01-29 09:59 AM
2,Tram,Tøyen,11822,2025-01-07 08:18 AM
10,Metro,Nationaltheatret,2999,2025-01-14 10:44 PM
6,Train,Lillestrøm,10100,2025-01-12 05:36 PM
10,Train,Sandvika,5088,2025-01-29 02:34 PM
16,Bus,Helsfyr,11047,2025-01-27 03:27 PM
7,Bus,Grorud,9806,2025-01-14 10:23 AM
1,Train,Sandvika,12772,2025-01-11 08:01 AM
8,Metro,Nationaltheatret,13747,2025-01-23 09:54 PM
1,Bus,Sinsen,12993,2025-01-19 08:02 PM
6,Tram,Røa,3961,2025-01-01 09:35 PM
11,Tram,Stortinget,14338,2025-01-14 05:35 PM
4,Tram,Røa,10991,2025-01-31 09:05 AM
15,Metro,Furuset,11548,2025-01-01 04:05 PM
9,Tram,Stortinget,8178,2025-01-13 05:41 PM
1,Train,Skøyen,7058,2025-01-04 02:05 PM
5,Bus,Grorud,10163,2025-01-07 07:14 AM
2,Bus,Bislett,13724,2025-01-16 05:51 PM
5,Train,Lillestrøm,4178,2025-01-20 07:14 PM
18,Tram,Majorstuen,12379,2025-01-07 10:21 PM
10,Train,Sandvika,3500,2025-01-04 11:54 AM
17,Tram,Majorstuen,13021,2025-01-18 10:42 AM
9,Train,Sandvika,10291,2025-01-11 08:07 AM
17,Metro,Storo,13596,2025-01-20 08:58 AM
13,Bus,Grünerløkka,10744,2025-01-23 07:02 PM
8,Tram,Majorstuen,14043,2025-01-27 10:59 AM
17,Metro,Furuset,5386,2025-01-23 08:15 AM
2,Bus,Grorud,5503,2025-01-03 07:12 AM
4,Train,Lillestrøm,13798,2025-01-01 01:08 PM
20,Tram,Stortinget,10750,2025-01-09 07:37 AM
14,Train,Lillestrøm,12791,2025-01-04 02:23 PM
20,Train,Skøyen,9691,2025-01-31 07:12 AM
15,Metro,Storo,13865,2025-01-25 03:06 PM
16,Metro,Jernbanetorget,9239,2025-01-02 10:10 AM
20,Tram,Røa,13346,2025-01-19 12:21 PM
11,Train,Skøyen,3747,2025-01-21 06:47 PM
5,Metro,Nationaltheatret,7472,2025-01-18 07:43 PM
17,Tram,Ullevål Stadion,9072,2025-01-29 06:00 AM
9,Train,Skøyen,614,2025-01-23 12:38 PM
18,Bus,Grünerløkka,9830,2025-01-04 08:54 PM
10,Tram,Tøyen,9935,2025-01-03 02:30 PM
15,Bus,Helsfyr,3160,2025-01-24 02:37 PM
1,Tram,Røa,13069,2025-01-07 04:58 PM
15,Bus,Sinsen,887,2025-01-12 07:10 PM
16,Tram,Stortinget,568,2025-01-17 02:59 PM
20,Train,Sandvika,8620,2025-01-02 10:11 PM
3,Metro,Nationaltheatret,3696,2025-01-05 09:27 AM
2,Bus,Bislett,623,2025-01-22 10:05 AM
13,Train,Oslo S,6222,2025-01-29 01:27 PM
5,Tram,Ullevål Stadion,12459,2025-01-27 08:46 AM
8,Tram,Stortinget,7170,2025-01-27 11:15 AM
17,Train,Lillestrøm,8695,2025-01-09 09:33 AM
5,Metro,Jernbanetorget,2535,2025-01-16 07:49 AM
20,Tram,Røa,6280,2025-01-10 09:33 AM
19,Metro,Jernbanetorget,1479,2025-01-04 05:09 PM
13,Train,Sandvika,13350,2025-01-31 02:40 PM
14,Metro,Jernbanetorget,6300,2025-01-17 05:33 PM
15,Bus,Grünerløkka,3091,2025-01-01 05:43 PM
11,Train,Skøyen,2434,2025-01-12 10:03 AM
15,Tram,Stortinget,14895,2025-01-07 10:57 AM
2,Train,Skøyen,7011,2025-01-23 08:20 AM
10,Metro,Jernbanetorget,8981,2025-01-26 07:35 AM
4,Bus,Lambertseter,10848,2025-01-19 10:36 AM
7,Bus,Grünerløkka,8129,2025-01-24 09:58 AM
12,Metro,Jernbanetorget,13480,2025-01-06 11:55 AM
7,Tram,Røa,11548,2025-01-25 10:34 AM
13,Metro,Storo,4843,2025-01-24 06:13 AM
17,Metro,Furuset,6475,2025-01-22 01:30 PM
10,Train,Oslo S,10800,2025-01-07 06:21 AM
18,Tram,Ullevål Stadion,12515,2025-01-22 10:14 PM
14,Tram,Røa,6442,2025-01-06 11:03 AM
14,Tram,Røa,9175,2025-01-03 11:27 AM
17,Bus,Bislett,2955,2025-01-09 06:37 PM
4,Tram,Stortinget,3327,2025-01-27 04:17 PM
6,Tram,Røa,11985,2025-01-07 12:11 PM
14,Tram,Ullevål Stadion,13214,2025-01-20 09:26 AM
7,Bus,Lambertseter,6010,2025-01-21 04:24 PM
8,Metro,Nationaltheatret,10958,2025-01-04 06:37 AM
19,Bus,Bislett,12068,2025-01-15 11:37 AM
4,Bus,Helsfyr,6567,2025-01-09 08:13 PM
10,Metro,Furuset,513,2025-01-01 03:59 PM
17,Train,Skøyen,12182,2025-01-25 05:18 PM
14,Train,Skøyen,7970,2025-01-13 05:55 PM
9,Metro,Furuset,7508,2025-01-05 12:20 PM
2,Train,Oslo S,3296,2025-01-28 08:40 PM
6,Train,Lillestrøm,3469,2025-01-30 03:54 PM
14,Train,Sandvika,2346,2025-01-12 02:35 PM
19,Bus,Grünerløkka,7497,2025-01-26 04:08 PM
17,Metro,Jernbanetorget,9509,2025-01-13 07:25 PM
